name||set||set_code||id||type||power||toughness||loyalty||manacost||converted_manacost||artist||flavor||color||generated_mana||number||rarity||rating||ruling||variation||ability||pricing_low||pricing_mid||pricing_high||watermark||print_number||is_original||back_id||number_int||name_CN||name_TW||name_FR||name_DE||name_IT||name_JP||name_PT||name_RU||name_ES||name_KO||type_CN||type_TW||type_FR||type_DE||type_IT||type_JP||type_PT||type_RU||type_ES||type_KO||ability_CN||ability_TW||ability_FR||ability_DE||ability_IT||ability_JP||ability_PT||ability_RU||ability_ES||ability_KO||flavor_CN||flavor_TW||flavor_FR||flavor_DE||flavor_IT||flavor_JP||flavor_PT||flavor_RU||flavor_ES||flavor_KO||color_identity||fully_handled||custom_sort||legality_Block||legality_Standard||legality_Modern||legality_Legacy||legality_Vintage||legality_Highlander||legality_French_Commander||legality_Tiny_Leaders_Commander||legality_Leviathan_Commander||legality_Commander||legality_Peasant||legality_Pauper||
Apocalypse Demon||Hour of Devastation||HOU||430747||Creature — Demon||*||*||||{4}{B}{B}||6||Piotr Jabłoński||||B||||58||R||5||£6/27/2017 : The ability that defines Apocalypse Demon’s power and toughness works in all zones, not just the battlefield.||||Flying£Apocalypse Demon's power and toughness are each equal to the number of cards in your graveyard.£At the beginning of your upkeep, tap Apocalypse Demon unless you sacrifice another creature.||||||||||1||True||||58||末日恶魔||末日惡魔||Démon de l'apocalypse||Dämon der Apokalypse||Demone dell'Apocalisse||黙示録の悪魔||Demônio do Apocalipse||Демон Апокалипсиса||Demonio del apocalipsis||종말의 악마||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||B||True||||||||||||||||||||||||||||
Appeal // Authority||Hour of Devastation||HOU||430841||Sorcery // Sorcery||||||||{G} // {1}{W}||1 // 2||Jason Rainville // Jason Rainville||||G // W||||152||U // U||5||£4/18/2017 : Split cards with aftermath have a new frame treatment—the half you can cast from your hand is oriented the same as other cards you’d cast from your hand, while the half you can cast from your graveyard is a traditional split card half. This frame treatment is for your convenience and has no rules significance.<tr class="post oddItem" style="background-color: rgba(255,255,366, 0.08);">£4/18/2017 : All split cards have two card faces on a single card, and you put a split card onto the stack with only the half you’re casting. The characteristics of the half of the card you didn’t cast are ignored while the spell is on the stack. For example, if an effect prevents you from casting green spells, you can cast Destined of Destined // Lead, but not Lead.£4/18/2017 : Each split card is a single card. For example, if you discard one, you’ve discarded one card, not two. If an effect counts the number of instant and sorcery cards in your graveyard, Destined // Lead counts once, not twice.<tr class="post oddItem" style="background-color: rgba(255,255,366, 0.08);">£4/18/2017 : Each split card has two names. If an effect instructs you to choose a card name, you may choose one, but not both.£4/18/2017 : While not on the stack, the characteristics of a split card are the combination of its two halves. For example, Destined // Lead is a green and black card, it is both an instant card and a sorcery card, and its converted mana cost is 6. This means that if an effect allows you to cast a card with converted mana cost 2 from your hand, you can’t cast Destined. This is a change from the previous rules for split cards.<tr class="post oddItem" style="background-color: rgba(255,255,366, 0.08);">£4/18/2017 : If you cast the first half of a split card with aftermath during your turn, you’ll have priority immediately after it resolves. You can cast the half with aftermath from your graveyard before any player can take any other action if it’s legal for you to do so.£4/18/2017 : If another effect allows you to cast a split card with aftermath from any zone other than a graveyard, you can’t cast the half with aftermath.<tr class="post oddItem" style="background-color: rgba(255,255,366, 0.08);">£4/18/2017 : If another effect allows you to cast a split card with aftermath from a graveyard, you may cast either half. If you cast the half that has aftermath, you’ll exile the card if it would leave the stack.£4/18/2017 : A spell with aftermath cast from a graveyard will always be exiled afterward, whether it resolves, it’s countered, or it leaves the stack in some other way.<tr class="post oddItem" style="background-color: rgba(255,255,366, 0.08);">£6/27/2017 : The value of X is determined only as Appeal begins to resolve. It won’t change later in the turn if the number of creatures you control changes.||||Until end of turn, target creature gains trample and gets +X/+X, where X is the number of creatures you control.£ // £Aftermath #_(Cast this spell only from your graveyard. Then exile it.)_#£Tap up to two target creatures your opponents control. Creatures you control gain vigilance until end of turn.||||||||||1||True||||152||吸引 // 权威||吸引 // 權威||Appel // Autorité||Berufung // Autorität||Appello // Autorità||旗幟 // 鮮明||Apelar // Autoridade||Обращение // Авторитетам||Apelar // Autoridad||호소 // 권위||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||GW||True||||||||||||||||||||||||||||
Aven of Enduring Hope||Hour of Devastation||HOU||430694||Creature — Bird Cleric||3||3||||{4}{W}||5||James Ryman||#_"This storm will calm. We must believe that."_#||W||||5||C||5||||||Flying£When Aven of Enduring Hope enters the battlefield, you gain 3 life.||||||||||1||True||||5||美愿艾文||美願艾文||Avemain de l'espoir perpétuel||Avior der ewigen Hoffnung||Aviana della Speranza Incrollabile||尽きぬ希望のエイヴン||Aviana da Esperança Duradoura||Авен Неугасимой Надежды||Aven de esperanza inquebrantable||영속적인 희망의 에이븐||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||W||True||||||||||||||||||||||||||||
Aven Reedstalker||Hour of Devastation||HOU||430719||Creature — Bird Warrior||2||3||||{3}{U}||4||Scott Murphy||#_"Our best chance against the Eternals will be tactics they've never seen and styles they've never trained in."_#||U||||30||C||5||||||Flash£Flying||||||||||1||True||||30||伏苇艾文||伏葦艾文||Pisteuse des roseaux avemain||Schilfschleicher-Avior||Aviana Setacciagiunchi||エイヴンの葦原忍び||Espreitadora dos Juncos Aviana||Авен, Охотница в Тростниках||Aven acechajuncos||에이븐 갈대추적자||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||U||True||||||||||||||||||||||||||||
Avid Reclaimer||Hour of Devastation||HOU||432880||Creature — Human Druid||2||2||||{2}{G}||3||Josu Hernaiz||#_"All can't be lost. Nissa has shown me that."_#||G||{G}{U}||201||U||5||£6/27/2017 : You can activate Avid Reclaimer’s ability even if you don’t have anything to spend that mana on. You’ll still gain 2 life if you control a Nissa planeswalker.£6/27/2017 : Avid Reclaimer’s ability is a mana ability. It doesn’t use the stack and can’t be responded to. You’ll immediately add mana to your mana pool and gain 2 life, if applicable.||||{T}: Add {G} or {U} to your mana pool. If you control a Nissa planeswalker, you gain 2 life.||||||||||1||True||||201||热切垦殖师||熱切墾殖師||Recouvreuse avide||Eifrige Lebensspenderin||Rivendicatrice Zelante||熱心な回収者||Reivindicadora Ávida||Страстная Возродительница||Recobradora ávida||열렬한 탈환자||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||GU||True||||||||||||||||||||||||||||
Banewhip Punisher||Hour of Devastation||HOU||430748||Creature — Human Warrior||2||2||||{2}{B}||3||Scott Murphy||#_"If I die, it will not be alone."_#||B||||59||U||5||||||When Banewhip Punisher enters the battlefield, you may put a -1/-1 counter on target creature.£{B}, Sacrifice Banewhip Punisher: Destroy target creature that has a -1/-1 counter on it.||||||||||1||True||||59||驱邪鞭手||驅邪鞭手||Châtieuse au fouet du fléau||Fluchpeitschen-Zelotin||Giustiziera Frustasventura||禍鞭の懲罰者||Castigadora do Chicote da Ruína||Мучительница Гибельного Кнута||Castigadora del látigorruina||재앙채찍 처벌자||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||B||True||||||||||||||||||||||||||||
Reason // Believe||Hour of Devastation||HOU||430843||Sorcery // Sorcery||||||||{U} // {4}{G}||1 // 5||Daarken // Daarken||||U // G||||154||R // R||5||£4/18/2017 : Split cards with aftermath have a new frame treatment—the half you can cast from your hand is oriented the same as other cards you’d cast from your hand, while the half you can cast from your graveyard is a traditional split card half. This frame treatment is for your convenience and has no rules significance.<tr class="post oddItem" style="background-color: rgba(255,255,366, 0.08);">£4/18/2017 : All split cards have two card faces on a single card, and you put a split card onto the stack with only the half you’re casting. The characteristics of the half of the card you didn’t cast are ignored while the spell is on the stack. For example, if an effect prevents you from casting green spells, you can cast Destined of Destined // Lead, but not Lead.£4/18/2017 : Each split card is a single card. For example, if you discard one, you’ve discarded one card, not two. If an effect counts the number of instant and sorcery cards in your graveyard, Destined // Lead counts once, not twice.<tr class="post oddItem" style="background-color: rgba(255,255,366, 0.08);">£4/18/2017 : Each split card has two names. If an effect instructs you to choose a card name, you may choose one, but not both.£4/18/2017 : While not on the stack, the characteristics of a split card are the combination of its two halves. For example, Destined // Lead is a green and black card, it is both an instant card and a sorcery card, and its converted mana cost is 6. This means that if an effect allows you to cast a card with converted mana cost 2 from your hand, you can’t cast Destined. This is a change from the previous rules for split cards.<tr class="post oddItem" style="background-color: rgba(255,255,366, 0.08);">£4/18/2017 : If you cast the first half of a split card with aftermath during your turn, you’ll have priority immediately after it resolves. You can cast the half with aftermath from your graveyard before any player can take any other action if it’s legal for you to do so.£4/18/2017 : If another effect allows you to cast a split card with aftermath from any zone other than a graveyard, you can’t cast the half with aftermath.<tr class="post oddItem" style="background-color: rgba(255,255,366, 0.08);">£4/18/2017 : If another effect allows you to cast a split card with aftermath from a graveyard, you may cast either half. If you cast the half that has aftermath, you’ll exile the card if it would leave the stack.£4/18/2017 : A spell with aftermath cast from a graveyard will always be exiled afterward, whether it resolves, it’s countered, or it leaves the stack in some other way.||||Scry 3.£ // £Aftermath #_(Cast this spell only from your graveyard. Then exile it.)_#£Look at the top card of your library. You may put it onto the battlefield if it's a creature card. If you don't, put it into your hand.||||||||||1||True||||154||理性 // 相信||理性 // 相信||Raison // Croire||Wissen // Glauben||Ragione // Credere||大義 // 名分||Razão // Acreditar||Причина // Верить||Razones // Creer||이유 // 믿음||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||GU||True||||||||||||||||||||||||||||
Beneath the Sands||Hour of Devastation||HOU||430800||Sorcery||||||||{2}{G}||3||Magali Villeneuve||#_Though buried and muffled, nature's whisper still called to Nissa._#||G||||111||C||5||||||Search your library for a basic land card, put it onto the battlefield tapped, then shuffle your library.£Cycling {2} #_({2}, Discard this card: Draw a card.)_#||||||||||1||True||||111||扬砂复碧||揚砂復碧||Sous le sable||Begraben von Sand||Sotto le Sabbie||砂の下から||Sob as Areias||Под Песками||Bajo las arenas||모래 아래||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||G||True||||||||||||||||||||||||||||
Bitterbow Sharpshooters||Hour of Devastation||HOU||430801||Creature — Jackal Archer||4||4||||{4}{G}||5||Bram Sels||#_"Remember, brother, the eyes are always vulnerable."£"I never forgot."_#||G||||112||C||5||||||Vigilance, reach||||||||||1||True||||112||刺骨弓神射手||刺骨弓神射手||Francs-tireurs cinglarc||Bitterbogen-Scharfschützen||Tiratori Scelti Asprodardo||苦弓の名射手||Atiradores do Arcoamargo||Жалящие Лучники||Tiradores de arcoamargo||고통활 명사수||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||G||True||||||||||||||||||||||||||||
Bloodwater Entity||Hour of Devastation||HOU||430827||Creature — Elemental||2||2||||{1}{U}{R}||3||Viktor Titov||||UR||||138||U||5||||||Flying£Prowess #_(Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)_#£When Bloodwater Entity enters the battlefield, you may put target instant or sorcery card from your graveyard on top of your library.||||||||||1||True||||138||血河灵||血河靈||Entité des eaux sanguines||Blutstromwesen||Entità delle Acque di Sangue||血水の化身||Entidade da Água Sangrenta||Тварь Кровавой Воды||Entidad del agua sangrienta||핏물의 존재||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||UR||True||||||||||||||||||||||||||||
Blur of Blades||Hour of Devastation||HOU||430773||Instant||||||||{1}{R}||2||Anna Steinbauer||#_Samut battled her way through the hordes, shouting the names of those who'd died in her crop and those she hoped yet to save._#||R||||84||C||5||£6/27/2017 : If the targeted creature is an illegal target by the time Blur of Blades resolves, it will be countered and none of its effects will happen. Blur of Blades won’t deal damage to any player.||||Put a -1/-1 counter on target creature. Blur of Blades deals 2 damage to that creature's controller.||||||||||1||True||||84||迅刀残影||迅刀殘影||Flou de lames||Klingenwirbel||Turbinio di Lame||かすむ刀剣||Borrão de Lâminas||Пляска Клинков||Bruma de espadas||칼날의 잔상||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||R||True||||||||||||||||||||||||||||
Bontu's Last Reckoning||Hour of Devastation||HOU||430749||Sorcery||||||||{1}{B}{B}||3||Victor Adame Minguez||#_To the last, Bontu wanted only to be first among the God-Pharaoh's subjects._#||B||||60||R||5||£6/27/2017 : No lands that you control will untap during your next untap step, even lands that aren’t tapped as this spell resolves. This includes lands that enter the battlefield after this spell resolves.£6/27/2017 : If more than one spell says that lands you control don’t untap during your next untap step, the effects will all wear off during that untap step. You’ll untap lands you control during your untap step after that one.||||Destroy all creatures. Lands you control don't untap during your next untap step.||||||||||1||True||||60||芭图临终报复||芭圖臨終報復||Dernier jugement de Bontu||Bontus letztes Gefecht||Ultima Sentenza di Bontu||バントゥ最後の算段||Última Sentença de Bontu||Последняя Расплата Бонту||Última tentativa de Bontu||본투의 마지막 심판||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||B||True||||||||||||||||||||||||||||
Brambleweft Behemoth||Hour of Devastation||HOU||432881||Creature — Elemental||6||6||||{4}{G}{G}||6||Florian de Gesincourt||#_Life will find a way, or it will make one._#||G||||202||C||5||||||Trample #_(This creature can deal excess combat damage to defending player or planeswalker while attacking.)_#||||||||||1||True||||202||纺棘贝西摩斯||紡棘貝西摩斯||Béhémoth trameronces||Dornenwurzelbehemoth||Behemoth Trama di Rovi||茨織りのビヒモス||Behemoth Espinheiro||Сплетенное из Колючек Чудище||Behemot zarzaentramada||덤불그물 거대괴수||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||G||True||||||||||||||||||||||||||||
Burning-Fist Minotaur||Hour of Devastation||HOU||430774||Creature — Minotaur Wizard||2||1||||{1}{R}||2||Matt Stewart||#_"There is no afterlife. Not for me, and not for you. So think again before getting in my way."_#||R||||85||U||5||||||First strike£{1}{R}, Discard a card: Burning-Fist Minotaur gets +2/+0 until end of turn.||||||||||1||True||||85||焰拳牛头怪||焰拳牛頭怪||Minotaure brûlepoing||Feuerfaust-Minotaurus||Minotauro Pugnorovente||燃え拳のミノタウルス||Minotauro do Punho Flamejante||Минотавр Горящего Кулака||Minotauro de puño ardiente||불주먹 미노타우로스||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||R||True||||||||||||||||||||||||||||
Carrion Screecher||Hour of Devastation||HOU||430750||Creature — Zombie Bird||3||1||||{3}{B}||4||Tomasz Jedruszek||#_The banished have come home to roost._#||B||||61||C||5||||||Flying||||||||||1||True||||61||食腐鸣鸟||食腐鳴鳥||Crisseur charognard||Aaskreischer||Necrofago Gracchiante||屍肉の金切り声上げ||Guinchador Carniceiro||Падальный Крикун||Chirriante carroñero||시체 비명꾼||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||B||True||||||||||||||||||||||||||||
Champion of Wits||Hour of Devastation||HOU||430720||Creature — Naga Wizard||2||1||||{2}{U}||3||Even Amundsen||||U||||31||R||5||£6/27/2017 : Use Champion of Wits’s power as the first ability resolves to determine if you want to use the ability and how many cards you draw if you do. If you use the ability, you discard two cards regardless of how many cards you draw. If Champion of Wits leaves the battlefield before that ability resolves, use its last known power.£6/27/2017 : For each card with eternalize, a corresponding game play supplement token can be found in some Hour of Devastation booster packs. These supplements are not required to play with cards with eternalize; you can use the same items to represent an eternalized token as you would any other token.£6/27/2017 : If a creature card with eternalize is put into your graveyard during your main phase, you’ll have priority immediately afterward. You can activate its eternalize ability before any player can try to exile it, such as with Crook of Condemnation, if it’s legal for you to do so.£6/27/2017 : Once you’ve activated an eternalize ability, the card is immediately exiled. Opponents can’t try to stop the ability by exiling the card with an effect such as that of Crook of Condemnation.£6/27/2017 : The token copies exactly what was printed on the original card and nothing else, except the characteristics specifically modified by eternalize. It doesn’t copy any information about the object the card was before it was put into your graveyard.£6/27/2017 : The token is a Zombie in addition to its other types and is black instead of its other colors. Its base power and toughness are 4/4. It has no mana cost, and thus its converted mana cost is 0. These are copiable values of the token that other effects may copy.£6/27/2017 : If the card copied by the token had any “when [this permanent] enters the battlefield” abilities, then the token also has those abilities and will trigger them when it’s created. Similarly, any “as [this permanent] enters the battlefield” or “[this permanent] enters the battlefield with” abilities that the token has copied will also work.||||When Champion of Wits enters the battlefield, you may draw cards equal to its power. If you do, discard two cards.£Eternalize {5}{U}{U} #_({5}{U}{U}, Exile this card from your graveyard: Create a token that's a copy of it, except it's a 4/4 black Zombie Naga Wizard with no mana cost. Eternalize only as a sorcery.)_#||||||||||1||True||||31||聪智斗士||聰智鬥士||Championne d'esprits||Champion des Scharfsinns||Campionessa d'Ingegno||機知の勇者||Campeã do Raciocínio||Поборница Разума||Campeona del ingenio||기지의 투사||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||U||True||||||||||||||||||||||||||||
